emd_nm,base_date,city,em_cnt,em_g,pay_amt,em_g_per_cnt,year,month,day,week,day_of_week,season,redday,kor_cnt,kor_amt,fast_cnt,fast_amt,af_cnt,af_amt,mart_cnt,mart_amt,food_cnt,food_amt,west_cnt,west_amt,des_cnt,des_amt,asia_cnt,asia_amt,deliv_cnt,deliv_amt,geo_type,observed,trend,seasonal,em_cnt_variant,em_g_variant,pay_amt_variant,em_g_per_cnt_variant
알수없음,2018-02-02,알수없음,35.0,234700.0,7031.0,6705.714285714285,2018,2,2,5,4,3,0,15,479220,15,175062,5,484110,20,317850,20,1176485,,,10,54768,5,513450,,,알수없음,234700.0,264405.0,3395.513223113519,1.0,1950.0,53.0,-139.8739495798327
알수없음,2018-02-03,알수없음,31.0,270700.0,8113.0,8732.258064516129,2018,2,3,5,5,3,0,44,2070915,5,67482,5,48411,78,1919374,5,307092,,,5,14670,5,166260,,,알수없음,270700.0,266465.8333333333,2787.5775837531824,-4.0,36000.0,1082.0,2026.5437788018435
알수없음,2018-02-04,알수없음,23.0,194000.0,5816.0,8434.782608695652,2018,2,4,5,6,3,0,20,562350,5,126651,5,121712,24,356041,5,171688,5,291444,5,67971,,,5,83619,알수없음,194000.0,267740.0,-6433.073109370601,-8.0,-76700.0,-2297.0,-297.4754558204768
알수없음,2018-02-05,알수없음,22.0,120450.0,3607.0,5475.0,2018,2,5,6,0,3,0,10,154035,5,660150,,,20,993012,5,8313,5,234720,15,198534,5,102690,5,58680,알수없음,120450.0,267435.0,-15957.487243354606,-1.0,-73550.0,-2209.0,-2959.782608695652
알수없음,2018-02-06,알수없음,18.0,84600.0,2534.0,4700.0,2018,2,6,6,1,3,0,15,241566,10,124695,5,48900,39,1204945,5,23961,5,48900,10,136920,10,875310,5,78240,알수없음,84600.0,264780.8333333333,-6311.121807446122,-4.0,-35850.0,-1073.0,-775.0
알수없음,2018-02-07,알수없음,37.0,283300.0,8491.0,7656.756756756757,2018,2,7,6,2,3,0,15,122250,5,49389,,,64,1078245,5,44010,,,5,56235,,,,,알수없음,283300.0,264394.1666666666,-5401.933790892494,19.0,198700.0,5957.0,2956.7567567567567
알수없음,2018-02-08,알수없음,35.0,279750.0,8384.0,7992.857142857143,2018,2,8,6,3,3,0,49,1248906,5,90465,5,293400,39,3385738,5,195600,5,136431,10,95355,10,234720,,,알수없음,279750.0,267209.1666666666,-4103.127494768954,-2.0,-3550.0,-107.0,336.10038610038646
알수없음,2018-02-09,알수없음,45.0,331800.0,9945.0,7373.333333333333,2018,2,9,6,4,3,0,15,489000,5,108558,,,5,100832,10,362985,,,10,112959,,,,,알수없음,331800.0,269058.3333333334,-727.8319513336014,10.0,52050.0,1561.0,-619.5238095238101
알수없음,2018-02-10,알수없음,32.0,240800.0,7214.0,7525.0,2018,2,10,6,5,3,0,44,1338882,5,102690,5,136920,93,5513084,5,131590,5,34230,5,117849,,,5,68460,알수없음,240800.0,270853.3333333334,-44.638558435873406,-13.0,-91000.0,-2731.0,151.66666666666697
알수없음,2018-02-11,알수없음,31.0,261750.0,7844.0,8443.548387096775,2018,2,11,6,6,3,0,24,440589,5,21516,,,29,1105776,20,542546,5,179952,5,41565,,,15,296823,알수없음,261750.0,271032.5,-16638.138713925247,-1.0,20950.0,630.0,918.5483870967746
알수없음,2018-02-12,알수없음,28.0,243100.0,7286.0,8682.142857142857,2018,2,12,7,0,3,0,29,741813,10,185820,,,54,2608717,20,1100250,5,362838,5,10758,5,537900,,,알수없음,243100.0,271536.6666666667,4528.307367144517,-3.0,-18650.0,-558.0,238.59447004608228
알수없음,2018-02-13,알수없음,49.0,265650.0,7958.0,5421.428571428572,2018,2,13,7,1,3,0,20,552570,5,312960,15,930078,49,6735535,10,578976,,,5,90465,10,342300,5,78240,알수없음,265650.0,272291.6666666666,-10494.926568450994,21.0,22550.0,672.0,-3260.7142857142853
알수없음,2018-02-14,알수없음,39.0,259200.0,7767.0,6646.153846153846,2018,2,14,7,2,3,1,34,631299,10,166260,10,141810,34,2073849,10,70709,5,214035,15,194622,5,127140,,,알수없음,259200.0,270342.5,-425.8485125864447,-10.0,-6450.0,-191.0,1224.7252747252742
알수없음,2018-02-15,알수없음,41.0,332900.0,9976.0,8119.512195121952,2018,2,15,7,3,3,1,20,95355,5,684600,10,310613,64,3662757,5,196871,,,10,119316,,,,,알수없음,332900.0,270050.8333333333,-8947.674757797167,2.0,73700.0,2209.0,1473.358348968106
알수없음,2018-02-16,알수없음,25.0,163800.0,4908.0,6552.0,2018,2,16,7,4,3,1,,,10,403914,5,342300,49,529929,,,,,,,,,,,알수없음,163800.0,271887.5,-6686.758091130504,-16.0,-169100.0,-5068.0,-1567.5121951219517
알수없음,2018-02-17,알수없음,36.0,437250.0,13106.0,12145.833333333334,2018,2,17,7,5,3,1,44,1048416,15,325185,,,34,545577,15,238632,10,185331,20,127385,5,489000,5,73350,알수없음,437250.0,273835.8333333334,15696.491908869497,11.0,273450.0,8198.0,5593.833333333334
알수없음,2018-02-18,알수없음,49.0,369250.0,11067.0,7535.714285714285,2018,2,18,7,6,3,1,39,1012230,20,514917,,,29,1395313,5,178681,10,163815,15,154524,15,464550,5,83130,알수없음,369250.0,274170.8333333334,18979.769686647265,13.0,-68000.0,-2039.0,-4610.119047619049
알수없음,2018-02-19,알수없음,31.0,307300.0,9210.0,9912.90322580645,2018,2,19,8,0,3,0,39,1097805,5,9780,,,20,1804117,10,81223,,,5,88020,10,391200,5,68460,알수없음,307300.0,275397.5,-13220.896980019395,-18.0,-61950.0,-1857.0,2377.1889400921655
알수없음,2018-02-20,알수없음,33.0,240350.0,7203.0,7283.333333333333,2018,2,20,8,1,3,0,29,709050,10,67971,,,29,450614,24,366652,,,5,44010,10,278730,,,알수없음,240350.0,276948.3333333334,26879.741908869502,2.0,-66950.0,-2007.0,-2629.5698924731178
알수없음,2018-02-21,알수없음,39.0,308150.0,9234.0,7901.282051282052,2018,2,21,8,2,3,0,5,17115,10,160392,,,20,310026,,,5,67971,10,108069,5,107580,,,알수없음,308150.0,281264.1666666667,-410.2025355749529,6.0,67800.0,2031.0,617.9487179487187
알수없음,2018-02-22,알수없음,28.0,252600.0,7572.0,9021.42857142857,2018,2,22,8,3,3,0,24,960885,10,157458,5,97800,44,2372628,5,236578,,,5,38142,,,5,73350,알수없음,252600.0,286307.49999999994,5849.380797758383,-11.0,-55550.0,-1662.0,1120.146520146519
알수없음,2018-02-23,알수없음,35.0,336800.0,10098.0,9622.857142857143,2018,2,23,8,4,3,0,29,603915,5,94133,10,7046490,29,993648,5,22005,,,5,54768,5,303180,5,48900,알수없음,336800.0,287342.50000000006,-1948.2303133527305,7.0,84200.0,2526.0,601.4285714285725
알수없음,2018-02-24,알수없음,37.0,346900.0,10399.0,9375.675675675675,2018,2,24,8,5,3,0,20,303180,10,256725,5,102690,5,957120,5,24450,,,5,54768,10,144255,10,127629,알수없음,346900.0,287708.33333333343,-3227.452535574955,2.0,10100.0,301.0,-247.18146718146818
알수없음,2018-02-25,알수없음,36.0,335350.0,10051.0,9315.277777777777,2018,2,25,8,6,3,0,20,533010,5,123228,,,44,1819667,,,,,,,5,78240,,,알수없음,335350.0,290168.3333333334,13265.908575536174,-1.0,-11550.0,-348.0,-60.397897897897565
알수없음,2018-02-26,알수없음,36.0,250500.0,7508.0,6958.333333333333,2018,2,26,9,0,3,0,24,687045,,,5,177507,34,1016484,5,63570,,,5,20294,5,606360,10,117849,알수없음,250500.0,293880.8333333334,-10427.396980019395,0.0,-84850.0,-2543.0,-2356.9444444444443
알수없음,2018-02-27,알수없음,41.0,343300.0,10289.0,8373.170731707318,2018,2,27,9,1,3,0,24,995115,15,793158,,,15,555504,10,203864,5,131052,,,10,176040,,,알수없음,343300.0,296790.0,18025.797464425043,5.0,92800.0,2781.0,1414.8373983739848
알수없음,2018-02-28,알수없음,24.0,216950.0,6501.0,9039.583333333334,2018,2,28,9,2,3,1,20,999516,5,177507,10,125673,15,145135,5,63570,,,15,185331,5,278730,5,97800,알수없음,216950.0,296938.3333333334,-8711.358849174425,-17.0,-126350.0,-3788.0,666.4126016260161
알수없음,2018-03-01,알수없음,34.0,228650.0,6852.0,6725.0,2018,3,1,9,3,0,1,20,5407080,,,,,49,2462312,15,164869,5,282900,10,129888,10,634680,,,알수없음,228650.0,295990.0,9480.529600955355,10.0,11700.0,351.0,-2314.583333333334
알수없음,2018-03-02,알수없음,32.0,341250.0,10229.0,10664.0625,2018,3,2,9,4,0,1,25,487080,10,179580,5,372936,5,92890,5,9840,,,5,120540,,,,,알수없음,341250.0,296721.6666666666,5872.029663124529,-2.0,112600.0,3377.0,3939.0625
알수없음,2018-03-03,알수없음,35.0,318300.0,9541.0,9094.285714285714,2018,3,3,9,5,0,0,30,1451400,,,5,63960,49,3647098,5,241474,5,27158,,,15,487080,,,알수없음,318300.0,297685.0,-4642.9489869885065,3.0,-22950.0,-688.0,-1569.7767857142862
알수없음,2018-03-04,알수없음,29.0,266050.0,7973.0,9174.137931034482,2018,3,4,9,6,0,0,15,398520,5,114636,,,44,1887952,20,376577,5,100860,10,88560,,,,,알수없음,266050.0,294321.6666666666,3395.513223113519,-6.0,-52250.0,-1568.0,79.85221674876811
알수없음,2018-03-05,알수없음,19.0,259450.0,7779.0,13655.263157894737,2018,3,5,10,0,0,0,10,206640,5,132348,,,20,473058,10,118080,,,15,101844,5,157440,5,83640,알수없음,259450.0,287114.1666666666,2787.5775837531824,-10.0,-6600.0,-194.0,4481.125226860255
알수없음,2018-03-06,알수없음,31.0,278850.0,8359.0,8995.161290322581,2018,3,6,10,1,0,0,34,1451400,5,54120,10,432960,44,2142808,25,144648,,,20,136284,,,,,알수없음,278850.0,283689.1666666666,-6433.073109370601,12.0,19400.0,580.0,-4660.101867572155
알수없음,2018-03-07,알수없음,21.0,128650.0,3855.0,6126.190476190476,2018,3,7,10,2,0,0,34,952020,15,289296,5,172200,54,2677759,5,17712,5,447720,5,73308,5,56580,,,알수없음,128650.0,284624.99999999994,-15957.487243354606,-10.0,-150200.0,-4504.0,-2868.9708141321053
알수없음,2018-03-08,알수없음,40.0,335350.0,10051.0,8383.75,2018,3,8,10,3,0,0,34,875760,,,,,30,853079,5,49200,,,15,172200,5,68880,,,알수없음,335350.0,285801.6666666667,-6311.121807446122,19.0,206700.0,6196.0,2257.559523809524
알수없음,2018-03-09,알수없음,42.0,335150.0,10045.0,7979.761904761905,2018,3,9,10,4,0,0,44,1564560,10,165312,5,44280,10,237341,5,123000,,,10,67404,,,5,98400,알수없음,335150.0,290330.0,-5401.933790892494,2.0,-200.0,-6.0,-403.9880952380954
알수없음,2018-03-10,알수없음,39.0,290000.0,8690.0,7435.897435897436,2018,3,10,10,5,0,0,25,812292,5,171216,,,39,2946391,15,299087,5,54120,5,125706,10,206640,,,알수없음,290000.0,293782.5,-4103.127494768954,-3.0,-45150.0,-1355.0,-543.864468864469
알수없음,2018-03-11,알수없음,40.0,343500.0,10296.0,8587.5,2018,3,11,10,6,0,0,34,2039832,10,90036,5,123000,20,418840,10,88560,,,,,10,363588,,,알수없음,343500.0,292970.00000000006,-727.8319513336014,1.0,53500.0,1606.0,1151.6025641025644
알수없음,2018-03-12,알수없음,48.0,376700.0,11287.0,7847.916666666667,2018,3,12,11,0,0,0,30,720780,5,47232,5,129888,30,1035316,15,58056,,,5,35424,5,36900,5,50184,알수없음,376700.0,292016.6666666667,-44.638558435873406,8.0,33200.0,991.0,-739.583333333333
알수없음,2018-03-13,알수없음,51.0,348600.0,10447.0,6835.294117647059,2018,3,13,11,1,0,0,30,513156,5,63960,,,34,1255830,15,175004,5,83640,10,123000,5,157440,,,알수없음,348600.0,291290.00000000006,-16638.138713925247,3.0,-28100.0,-840.0,-1012.6225490196084
알수없음,2018-03-14,알수없음,46.0,330800.0,9915.0,7191.304347826087,2018,3,14,11,2,0,0,25,469860,,,,,49,1554917,10,111094,,,20,242064,,,,,알수없음,330800.0,291415.8333333334,4528.307367144517,-5.0,-17800.0,-532.0,356.01023017902844
알수없음,2018-03-15,알수없음,20.0,186850.0,5600.0,9342.5,2018,3,15,11,3,0,0,15,509220,5,182040,5,369000,34,1240676,5,5904,,,,,,,5,63960,알수없음,186850.0,292685.00000000006,-10494.926568450994,-26.0,-143950.0,-4315.0,2151.195652173913
알수없음,2018-03-16,알수없음,37.0,281100.0,8424.0,7597.2972972972975,2018,3,16,11,4,0,0,39,2191860,,,5,76457,59,2749690,20,222876,,,10,74292,5,172200,,,알수없음,281100.0,298102.50000000006,-425.8485125864447,17.0,94250.0,2824.0,-1745.2027027027025
알수없음,2018-03-17,알수없음,38.0,354900.0,10636.0,9339.473684210527,2018,3,17,11,5,0,0,34,1382520,10,167280,,,39,1917373,5,32472,5,196800,10,153504,5,123000,,,알수없음,354900.0,300555.8333333334,-8947.674757797167,1.0,73800.0,2212.0,1742.1763869132292
알수없음,2018-03-18,알수없음,40.0,199600.0,5975.0,4990.0,2018,3,18,11,6,0,0,39,885600,10,201228,,,15,262039,15,660018,5,64944,15,85116,5,34440,,,알수없음,199600.0,299853.33333333343,-6686.758091130504,2.0,-155300.0,-4661.0,-4349.473684210527
알수없음,2018-03-19,알수없음,32.0,199650.0,5980.0,6239.0625,2018,3,19,12,0,0,0,20,307500,10,134808,,,54,1481461,5,41820,,,5,44280,5,34440,,,알수없음,199650.0,301139.1666666667,15696.491908869497,-8.0,50.0,5.0,1249.0625
알수없음,2018-03-20,알수없음,21.0,174400.0,5226.0,8304.761904761905,2018,3,20,12,1,0,0,15,944640,5,206640,,,30,1574498,20,197981,,,,,,,,,알수없음,174400.0,305862.5,18979.769686647265,-11.0,-25250.0,-754.0,2065.6994047619046
알수없음,2018-03-21,알수없음,46.0,296650.0,8885.0,6448.913043478261,2018,3,21,12,2,0,0,30,710940,,,,,34,1648692,5,5904,,,5,127920,,,5,88560,알수없음,296650.0,308931.6666666667,-13220.896980019395,25.0,122250.0,3659.0,-1855.8488612836436
알수없음,2018-03-22,알수없음,40.0,307150.0,9208.0,7678.75,2018,3,22,12,3,0,0,25,674040,5,150060,,,25,3252071,5,78720,5,97416,10,45559,10,287820,,,알수없음,307150.0,310518.3333333333,26879.741908869502,-6.0,10500.0,323.0,1229.836956521739
알수없음,2018-03-23,알수없음,37.0,311950.0,9350.0,8431.081081081082,2018,3,23,12,4,0,0,30,672564,5,97908,5,147600,25,728111,15,231781,,,20,217464,5,196308,,,알수없음,311950.0,313889.1666666666,-410.2025355749529,-3.0,4800.0,142.0,752.3310810810817
알수없음,2018-03-24,알수없음,55.0,520500.0,15601.0,9463.636363636364,2018,3,24,12,5,0,0,15,895440,5,103320,5,85313,30,769291,25,284524,,,5,73800,5,34440,,,알수없음,520500.0,313206.66666666674,5849.380797758383,18.0,208550.0,6251.0,1032.5552825552822
알수없음,2018-03-25,알수없음,35.0,276050.0,8275.0,7887.142857142857,2018,3,25,12,6,0,0,49,1424832,,,,,39,2125981,15,577362,,,15,162360,5,226320,,,알수없음,276050.0,310923.3333333333,-1948.2303133527305,-20.0,-244450.0,-7326.0,-1576.493506493507
알수없음,2018-03-26,알수없음,48.0,358900.0,10753.0,7477.083333333333,2018,3,26,13,0,0,0,20,861000,5,152520,,,15,610129,5,5412,,,5,7872,10,250920,,,알수없음,358900.0,310514.99999999994,-3227.452535574955,13.0,82850.0,2478.0,-410.05952380952385
알수없음,2018-03-27,알수없음,43.0,266150.0,7974.0,6189.53488372093,2018,3,27,13,1,0,0,20,668136,5,26076,10,442800,34,916744,15,636008,5,97416,10,121524,10,304548,,,알수없음,266150.0,311234.99999999994,13265.908575536174,-5.0,-92750.0,-2779.0,-1287.5484496124027
알수없음,2018-03-28,알수없음,31.0,276100.0,8277.0,8906.451612903225,2018,3,28,13,2,0,0,34,892980,5,36900,,,15,885157,5,19188,,,5,295200,,,,,알수없음,276100.0,309898.33333333326,-10427.396980019395,-12.0,9950.0,303.0,2716.916729182295
알수없음,2018-03-29,알수없음,46.0,325250.0,9745.0,7070.652173913043,2018,3,29,13,3,0,0,25,590400,20,602208,5,137760,49,2009082,5,29520,5,54120,30,381792,25,924960,,,알수없음,325250.0,308469.99999999994,18025.797464425043,15.0,49150.0,1468.0,-1835.7994389901824
알수없음,2018-03-30,알수없음,36.0,311150.0,9325.0,8643.055555555555,2018,3,30,13,4,0,0,34,533820,10,135792,5,72816,30,798270,20,376380,,,20,223860,,,,,알수없음,311150.0,312347.5,-8711.358849174425,-10.0,-14100.0,-420.0,1572.4033816425117
알수없음,2018-03-31,알수없음,57.0,459500.0,13772.0,8061.403508771929,2018,3,31,13,5,0,0,34,841812,25,416232,,,20,919105,,,,,15,204672,,,5,51660,알수없음,459500.0,315432.5,9480.529600955355,21.0,148350.0,4447.0,-581.6520467836253
알수없음,2018-04-01,알수없음,39.0,257600.0,7718.0,6605.128205128205,2018,4,1,13,6,0,0,25,573376,5,16368,10,124000,35,3302715,5,157877,5,84320,15,164176,5,79360,,,알수없음,257600.0,315002.49999999994,5872.029663124529,-18.0,-201900.0,-6054.0,-1456.2753036437243
알수없음,2018-04-02,알수없음,48.0,359800.0,10783.0,7495.833333333333,2018,4,2,14,0,0,0,15,868000,15,245520,5,143840,60,2024226,5,236294,,,10,142352,,,,,알수없음,359800.0,315435.8333333333,-4642.9489869885065,9.0,102200.0,3065.0,890.705128205128
알수없음,2018-04-03,알수없음,41.0,301700.0,9041.0,7358.536585365854,2018,4,3,14,1,0,0,35,1356064,5,63488,5,248000,20,623522,10,1394950,,,10,153264,5,223200,,,알수없음,301700.0,320166.6666666666,3395.513223113519,-7.0,-58100.0,-1742.0,-137.29674796747895
알수없음,2018-04-04,알수없음,60.0,507200.0,15201.0,8453.333333333334,2018,4,4,14,2,0,0,30,570400,10,187984,5,372000,30,954651,5,65968,5,287680,10,46624,5,198400,,,알수없음,507200.0,327291.6666666667,2787.5775837531824,19.0,205500.0,6160.0,1094.7967479674799
